,Date,Price,EMA12,EMA26,MACD,SIGNAL,CROSS,DIRECTION
298,2023-04-14,30472.5,29422.041293413502,28785.01865737229,637.0226360412125,484.84170133277223,True,NONE
299,2023-04-15,30299.6,29598.638909419802,28922.0236164672,676.6152929526033,525.0659534890174,True,NONE
300,2023-04-16,30310.3,29757.76711319192,29052.311014838473,705.4560983534466,566.5407558843573,True,NONE
301,2023-04-17,29434.9,29733.240776800565,29094.65259733245,638.5881794681154,587.5764390189751,True,NONE
302,2023-04-18,30382.2,29876.79488466394,29223.10405698904,653.6908276749018,610.1703759435303,True,NONE
303,2023-04-19,28813.7,29728.620081774727,29198.109675353186,530.5104064215411,601.0515527653691,False,SELL
304,2023-04-20,28240.5,29506.21181567619,29135.42567465882,370.7861410173682,555.5781863076154,False,NONE
305,2023-04-21,27264.8,29147.99203102431,28994.626311091,153.36571993331017,468.2240958771249,False,NONE
306,2023-04-22,27813.9,28932.59982904339,28905.473328644683,27.126500398706412,368.9275300941983,False,NONE
307,2023-04-23,27591.4,28685.69604748462,28813.027564679713,-127.3315171950926,252.78869718465884,False,NONE
308,2023-04-24,27509.3,28451.26814640905,28719.074434493145,-267.8062880840953,126.90128070493901,False,NONE
309,2023-04-25,28298.8,28396.38999024287,28687.396030304488,-291.00604006161666,20.040734217991396,False,NONE
310,2023-04-26,28424.6,28361.882576755914,28672.11775288527,-310.23517612935757,-70.44999923663359,False,NONE
311,2023-04-27,29475.9,28513.54532924392,28742.280587874535,-228.73525863061514,-122.97316168628515,False,NONE
312,2023-04-28,29321.8,28618.539744782203,28794.38444885318,-175.84470407097615,-153.5044773966567,False,NONE
313,2023-04-29,29234.1,28691.94134899562,28837.935543430525,-145.99419443490478,-168.2778022630465,True,BUY
314,2023-04-30,29252.1,28774.501655441865,28883.984521232873,-109.4828657910075,-168.073150709624,True,NONE
315,2023-05-01,28077.6,28621.673751734397,28823.33224674263,-201.65849500823242,-183.3314098553368,False,SELL
316,2023-05-02,28669.1,28626.108198188318,28817.161040021398,-191.05284183307958,-190.12466575788332,False,NONE
317,2023-05-03,29023.6,28702.759769569653,28842.914042748744,-140.15427317909052,-180.43907774570403,True,BUY
318,2023-05-04,28842.1,28755.41439044744,28852.72984628271,-97.31545583526895,-159.71267641041544,True,NONE
319,2023-05-05,29513.2,28905.629058214796,28918.316901408332,-12.687843193536537,-123.61191669304995,True,NONE
320,2023-05-06,28857.1,28923.21357562426,28919.405663376343,3.8079122479175567,-90.57268660754006,True,NONE
321,2023-05-07,28424.8,28864.653989515307,28869.876378489545,-5.222388974238129,-68.12534330484938,True,NONE
322,2023-05-08,27670.5,28668.502780797688,28754.118997600835,-85.61621680314784,-69.45279655358338,False,SELL
323,2023-05-09,27634.9,28493.85735576484,28647.347786101407,-153.49043033656562,-86.4406681277166,False,NONE
324,2023-05-10,27603.3,28319.786340387425,28540.499205046224,-220.71286465879894,-115.9710842993331,False,NONE
325,2023-05-11,26983.5,28067.92457721196,28388.182219794482,-320.25764258252093,-159.681660168822,False,NONE
326,2023-05-12,26799.2,27824.545040125606,28233.375281323624,-408.8302411980185,-214.7506759201035,False,NONE
327,2023-05-13,26777.5,27614.484311331587,28088.084673186615,-473.6003618550276,-274.54267575419425,False,NONE
328,2023-05-14,26920.0,27484.729542193494,27974.90171855019,-490.1721763566966,-327.119942468538,False,NONE
329,2023-05-15,27183.9,27409.053239875844,27882.40673374958,-473.3534938737357,-367.449369970225,False,NONE
330,2023-05-16,27035.3,27312.200634636618,27800.806888383377,-488.60625374675874,-403.52727131251146,False,NONE
331,2023-05-17,27403.1,27297.70470090338,27762.470604277,-464.76590337361995,-426.8307185347194,False,NONE
332,2023-05-18,26828.0,27172.297402173805,27688.62044060512,-516.3230384313138,-455.0911487297971,False,NONE
333,2023-05-19,26882.9,27088.701683002,27619.068762070263,-530.3670790682627,-479.21325202648575,False,NONE
334,2023-05-20,27116.2,27067.032597194968,27576.7820618078,-509.7494646128325,-492.27415149425286,False,NONE
335,2023-05-21,26749.9,27000.022602969984,27507.48183106276,-507.45922809277545,-499.8148719033288,False,NONE
336,2023-05-22,26847.3,26960.93876815007,27443.193443905075,-482.2546757550044,-498.0692813856082,True,BUY
337,2023-05-23,27220.7,26993.32967827386,27413.951000815545,-420.6213225416832,-481.30511724429135,True,NONE
338,2023-05-24,26328.4,26878.067173167557,27300.176035187254,-422.10886201969697,-467.8283955853095,True,NONE
339,2023-05-25,26475.8,26809.7792361122,27208.94329016715,-399.1640540549488,-452.31067403251535,True,NONE
340,2023-05-26,26711.5,26793.35309248137,27145.35585432773,-352.0027618463573,-428.9626779678519,True,NONE
341,2023-05-27,26857.5,26801.984857756925,27098.65022513806,-296.6653673811343,-398.4590447639662,True,NONE
342,2023-05-28,28071.2,27014.81002155492,27170.623108631786,-155.8130870768655,-341.2566868200835,True,NONE
343,2023-05-29,27739.4,27140.220834326086,27202.899827395944,-62.678993069857825,-274.28948474994314,True,NONE
344,2023-05-30,27698.2,27231.904353587746,27225.539371002247,6.364982585499092,-205.7418841475515,True,NONE
345,2023-05-31,27216.1,27237.154125984922,27207.604413489586,29.54971249533628,-145.76417691863938,True,NONE
346,2023-06-01,26819.0,27171.558023690042,27150.260141377006,21.297882313036098,-100.23727249279132,True,NONE
347,2023-06-02,27244.7,27185.353886309367,27140.16410282586,45.1897834835072,-59.94535445533146,True,NONE
348,2023-06-03,27072.0,27174.289777135797,27120.775109515067,53.5146676207296,-25.81077542074428,True,NONE
349,2023-06-04,27122.3,27171.734104684274,27115.07709553155,56.65700915272464,1.648947387339551,True,NONE
350,2023-06-05,25747.4,26923.44646944289,26993.760012907205,-70.31354346431544,-5.966657505136333,False,SELL
351,2023-06-06,27230.2,26988.48759767517,27007.319192789037,-18.83159511386839,-1.8555062641220732,False,NONE
352,2023-06-07,26342.5,26886.46663865013,26951.278669555533,-64.81203090540293,-12.25750324020205,False,NONE
353,2023-06-08,26501.1,26823.015261255186,26914.77221488524,-91.75695363005434,-28.856952344911225,False,NONE
354,2023-06-09,26479.3,26762.650718054985,26879.354067218665,-116.70334916367938,-49.387015777498846,False,NONE
355,2023-06-10,25844.0,26577.23946202378,26791.255477499362,-214.01601547558312,-88.17253215952263,False,NONE
356,2023-06-11,25928.4,26441.574991989444,26714.031845102574,-272.4568531131299,-132.09656243946137,False,NONE
357,2023-06-12,25906.8,26323.846821938874,26642.2746930855,-318.42787114662497,-178.11075586790062,False,NONE
358,2023-06-13,25929.4,26237.69654057277,26573.847808985556,-336.1512684127847,-219.09346091822547,False,NONE
359,2023-06-14,25129.5,26033.76645879155,26448.854831089826,-415.0883722982762,-269.641717130871,False,NONE
360,2023-06-15,25591.3,25932.97087485855,26371.641175951976,-438.6703010934252,-312.3093791869154,False,NONE
361,2023-06-16,26341.3,25981.32884596506,26361.17967240808,-379.8508264430202,-334.5030873276538,False,NONE
362,2023-06-17,26515.0,26051.412518649704,26370.08380982308,-318.67129117337754,-337.4440868530646,True,BUY
